text,label
Super satisfied with the experience. :),positive
I hate this.,negative
Customer service ignored me.,negative
This product broke after a day. :),negative
Great job team!,positive
Great job team!,positive
Waste of money. :),negative
It  works  as  expected.,neutral
The UI is clean and fast. :),positive
This product works perfectly.,positive
This  product  works  perfectly.,positive
This product works perfectly.,positive
Highly recommended. :),positive
The UI is clean and fast. :),positive
"Absolutely fantastic, exceeded expectations. :)",positive
"It's okay, nothing special. :)",neutral
I  hate  this.,negative
Using it for a while now.,neutral
Waste of money.,negative
Using  it  for  a  while  now.  :),neutral
The UI is clean and fast.,positive
Not working as advertised. :),negative
I tested the new feature.,neutral
App opens and runs. :),neutral
Using  it  for  a  while  now.,neutral
The UI is clean and fast.,positive
I  love  this!,positive
Five stars! :),positive
Customer service ignored me.,negative
"It's okay, nothing special. :)",neutral
"Absolutely fantastic, exceeded expectations. :)",positive
This product works perfectly. :),positive
Awful UI and crashes.,negative
Support is slow and unhelpful.,negative
Not working as advertised.,negative
Average experience.,neutral
I tested the new feature. :),neutral
Using it for a while now.,neutral
No issues so far.,neutral
The UI is clean and fast. :),positive
"It's  okay,  nothing  special.",neutral
App opens and runs. :),neutral
Not working as advertised. :),negative
No  issues  so  far.  :),neutral
This product broke after a day. :),negative
Using it for a while now. :),neutral
Received the package. :),neutral
This product broke after a day.,negative
Customer service ignored me.,negative
It works as expected.,neutral
Great  job  team!,positive
Waste of money.,negative
The UI is clean and fast. :),positive
I  tested  the  new  feature.,neutral
Not  working  as  advertised.,negative
Smooth and reliable.,positive
Average  experience.,neutral
Super satisfied with the experience. :),positive
This  product  broke  after  a  day.  :),negative
Service is acceptable.,neutral
Five stars!,positive
I want a refund. :),negative
Support is slow and unhelpful.,negative
The UI is clean and fast.,positive
Highly recommended.,positive
Five  stars!,positive
Awful UI and crashes.,negative
Super satisfied with the experience.,positive
Awful UI and crashes.,negative
"Brilliant  update,  much  better  now.  :)",positive
"Absolutely fantastic, exceeded expectations. :)",positive
Highly  recommended.,positive
Amazing  service  and  quick  support.  :),positive
Service is acceptable.,neutral
Waste of money.,negative
No issues so far. :),neutral
Service is acceptable. :),neutral
Received the package.,neutral
"Brilliant  update,  much  better  now.",positive
The update was released yesterday. :),neutral
It works as expected.,neutral
I  love  this!,positive
"Brilliant update, much better now.",positive
Service  is  acceptable.,neutral
Great  quality  and  value.,positive
Using it for a while now. :),neutral
App opens and runs.,neutral
Latency is horrible.,negative
I want a refund. :),negative
Support is slow and unhelpful.,negative
Highly recommended.,positive
I  want  a  refund.,negative
The UI is clean and fast.,positive
No issues so far.,neutral
"It's okay, nothing special.",neutral
I tried it today. :),neutral
Installation completed.,neutral
Waste of money.,negative
Awful UI and crashes. :),negative
Amazing service and quick support.,positive
"It's okay, nothing special.",neutral
Awful  UI  and  crashes.  :),negative
I  love  this!  :),positive
The latest update made it worse. :),negative
Average experience.,neutral
"Absolutely fantastic, exceeded expectations.",positive
Using it for a while now. :),neutral
Service is acceptable.,neutral
"Terrible experience, very disappointing. :)",negative
I  want  a  refund.,negative
Awful UI and crashes.,negative
Received the package.,neutral
I want a refund. :),negative
Support is slow and unhelpful. :),negative
Amazing service and quick support.,positive
Latency is horrible.,negative
Support  is  slow  and  unhelpful.,negative
I want a refund.,negative
Using  it  for  a  while  now.,neutral
I hate this. :),negative
